run,task,method,window,n_nodes,mean_novelty,h_spatial,h_fitness,breakthrough
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,29,9,0.10979696247502946,2.1829137286577613,2.182850836073288,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,30,10,0.08385986254512137,2.295385114811645,2.295555542292207,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,31,9,0.07061228054549415,2.182071409308846,2.181870247299993,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,32,10,0.0495113329981675,2.301265405659709,2.3013002365544204,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,33,10,0.036860831106298064,2.2776241566680464,2.2775438327531954,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,34,9,0.056469735717954966,2.1755544897513284,2.1752995347255135,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,35,10,0.050575669515496545,2.296480868658999,2.2964953852669177,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,36,8,0.05492980060580297,2.0770723647023432,2.077055442078809,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,37,10,0.0540079019657401,2.285083903268825,2.2851060688223366,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,38,10,0.03879627741814551,2.293617916685781,2.293581916022851,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,39,10,0.10967005853431197,2.2814163529021667,2.2800679387863823,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,40,10,0.07034968702703882,2.276427256159173,2.2686068187974726,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,41,9,0.07612974618672552,2.1725074571692584,2.1614237974131,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,42,9,0.060727016751839114,2.1862348748590588,2.1862526480052322,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,43,9,0.04580576579991503,2.1557254922139713,2.155250769917032,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,44,10,0.028245411317434105,2.2964602644086174,2.2962081614671463,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,45,10,0.05418871722893046,2.299248737064777,2.2990600511594224,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,46,10,0.06552732968525268,2.290497726102758,2.290480171237694,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,47,10,0.03806782072028125,2.2738978024280816,2.273930466679466,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,48,9,0.03961406863270968,2.1898032856308656,2.1897988934290407,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,49,9,0.03816241658927492,2.1868747453311697,2.186805656985244,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,50,10,0.05617937944762601,2.2885100527915943,2.2885035240015323,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,51,10,0.058298219161326235,2.297857137488644,2.2978003450350153,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,52,10,0.040392125036138156,2.286687414344555,2.28666335110546,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,53,7,0.026099631137768732,1.9344864146565663,1.9341443344213531,0
