task,version,run,sample_order,prompt_sha256,logged_prompt_tokens_raw,recounted_raw_tokens,recounted_chat_tokens,component_current_program_tokens,component_history_tokens,component_instruction_tokens,component_operator_direction_tokens,component_reference_history_tokens,component_reference_program_tokens,component_target_signature_tokens,component_task_tokens
cvrp,v9,v9_20260807_123753_v9_cvrp_rep1,975,fd4ea0a68d0befc1bd96f01141550aa2c83361ce8b5744d8648b9d67636ec6c6,5393,5393,5405,2428,921,122,33,26,1525,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep3,104,8f577220b8a3ba03f1af1bf20b42365f612ea274dc15e7ed1e2ad9215a3f630b,4146,4146,4158,1715,869,122,33,26,1043,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep2,26,760b624322cf6498a694147046a09dbba3fe595dbe346f700514c1611ba32a01,4053,4053,4065,2269,652,122,33,26,613,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep3,94,9ac1a18eb6cb218507b3bd9368313cb4cfc9afba83f678bca9d7e4151c3ec3a4,4270,4270,4282,1534,1053,122,33,26,1164,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep2,773,50d5a69e5f56ddb266c3318047dc3bfd66915295715cc6e6f5abe7305b92a4b0,6715,6715,6727,4578,1005,122,33,26,613,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep2,453,18a9ccb86d7bd8290b8f7eec58eb99c68f4d51e73ffd7afcf2437593a8b566f3,4547,4547,4559,1606,1029,122,33,26,1393,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep2,594,7f9e08c713dcc36202e8ab7b93b30d737034d1d932c232445b014e75fb17185c,4337,4337,4349,2786,1060,122,31,0,0,167,171
cvrp,v9,v9_20260807_123753_v9_cvrp_rep3,332,8033ba21a13546da180c434787236f3610452e3d241c87fe9a053a777b859210,3543,3543,3555,2174,875,122,34,0,0,167,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,370,07ff318c0a663a83d1573146af1c9f4d5b097c6a246bf4b281349d0d39ee096c,6629,6629,6641,3212,3107,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,938,fa8b9b395f878ab44e3ca8cad9c40fe908adf7483f69f35c588f2bb1b0d6457c,5414,5414,5426,1839,3265,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,199,c4fc459f6de231154de78a88e1e240e6d54495c6e3c8a05b9ade76f19d383e82,5177,5177,5189,1732,3135,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,143,c9ee01078ea2ba56d9783c5bc08d0060f0e3735f4cd8e4aee0a7d999d2fd212f,5293,5293,5305,1586,3397,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep3,289,32e3dd1b0124cfb682041fb2bc20e6768b9635ffb1a7850d262b01106b051d4b,5727,5727,5739,2141,3276,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,373,501faa39d4cd8dc35a4eb5c67892c65d0e8255c4e436043726d03f0654de163c,7208,7208,7220,3409,3489,139,0,0,0,0,171
cvrp,v95,v9_5_20260811_171029_cvrp_rep1,776,18ca335ac194b9705b983da8ac4d8aec8a86eb9deb5b7e6cc2830444dbef82d6,7723,7723,7735,3807,3606,139,0,0,0,0,171
